title,joma_model,final_price,availability,shipping,type_of_sale,model
Citizen,BL8000-54L,$239.99,In Stock.,Free Shipping,Valentine’s Day Sale,BL8000-54L
Citizen,BL8004-53E,$259.00,In Stock.,Free Shipping,Valentine’s Day Sale,BL8004-53E
Movado,0604759,$279.99,In Stock.,Free Shipping,Valentine’s Day Sale,0604759
Movado,0604982,$469.00,In Stock.,Free Shipping,Valentine’s Day Sale,0604982
Cartier,W51008Q3,"$2,775.00",Ships In 3 - 5 Weeks.,Free Shipping,Valentine’s Day Sale,W51008Q3
Rado,R20484112,"$1,273.00",Out of Stock,"","",R20484112
Citizen,BJ7000-52E,$199.00,In Stock.,Free Shipping,Valentine’s Day Sale,BJ7000-52E
Citizen,BJ8050-08E,$199.00,In Stock.,Free Shipping,Valentine’s Day Sale,BJ8050-08E
Rado,R13433152,"$1,541.00",Out of Stock,"","",R13433152
Citizen,BL5250-02L,$199.99,In Stock.,Free Shipping,Valentine’s Day Sale,BL5250-02L
