brand, joma_model, final_price, availability, shipping, type_of_sale, model
Calibre 8700 Eco-Drive Perpetual Calendar Men's Watch,BL8000-54L,$239.99,In Stock.,Free Shipping,Cyber Monday Sale,BL8000-54L
Calibre 8700 Eco-Drive Perpetual Calendar Men's Watch,BL8004-53E,$259.00,In Stock.,Free Shipping,Cyber Monday Sale,BL8004-53E
Amorosa Ladies Watch,0604759,$279.99,Ships In 1 - 3 Days.,Free Shipping,Black Friday Sale  Exp. 11/29,0604759
Amorosa Ladies Watch,0604982,$469.00,Ships In 1 Day.,Free Shipping,Black Friday Sale  Exp. 11/29,0604982
Tank Francaise Steel Ladies Watch,W51008Q3,"$2,775.00",Ships In 3 - 5 Weeks.,Free Shipping,Cyber Monday Sale,W51008Q3
Integral Platinum-tone Ceramic Men's Watch,R20484112,"$1,273.00",Out of Stock,"","",R20484112
Nighthawk Eco-Drive Pilot Watch Men's Watch,BJ7000-52E,$199.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,BJ7000-52E
Eco-Drive Professional Diver Men's Watch,BJ8050-08E,$199.00,In Stock.,Free Shipping,Cyber Monday Sale,BJ8050-08E
Sintra Multi-Function Men's Watch,R13433152,"$1,541.00",Out of Stock,"","",R13433152
Eco-Drive Perpetual Calendar Chronograph Men's Watch,BL5250-02L,$199.99,In Stock.,Free Shipping,Cyber Monday Sale,BL5250-02L
Eco Drive Titanium Bracelet Men's Watch,BM6060-57F,$132.00,In Stock.,Free Shipping,Cyber Monday Sale,BM6060-57F
Faceto Diamond Black Dial Stainless Steel Ladies Watch,0605586,"$1,395.00",In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,0605586
112 Twirl Ladies Watch,YA112401,$495.00,Ships In 2 - 3 Weeks.,Free Shipping,Black Friday Sale,YA112401
Skyhawk A-T Stainless Steel Chronograph Atomic Men's Watch,JY0000-53E,$349.00,Out of Stock,"",Cyber Monday Sale,JY0000-53E
101G Men's Watch,YA101331,"$1,049.00",In Stock.,Free Shipping,Black Friday Sale,YA101331
Riva Ladies Watch,EW0894-57D,$214.99,In Stock.,Free Shipping,Cyber Monday Sale,EW0894-57D
Strap Eco-Drive 180 Men's Watch,BM8180-03E,$84.50,In Stock.,$5.99 Shipped,Cyber Monday Sale,BM8180-03E
Eco-Drive Chronograph Men's Strap Watch,AT0200-05E,$112.99,In Stock.,Free Shipping,Cyber Monday Sale,AT0200-05E
Eco-Drive Chronograph Men's Watch,AT0550-11X,$156.99,In Stock.,Free Shipping,Cyber Monday Sale,AT0550-11X
Men's Eco Drive Titanium Watch,BM6560-54H,$169.00,In Stock.,Free Shipping,Cyber Monday Sale,BM6560-54H
